JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41380176|https://www.jobbank.gc.ca/jobsearch/jobposting/41380176?source=searchresults|grade school teacher|June-30-2024|Government of Nunavut|Nunavut|Baker Lake|Salary not available
41380252|https://www.jobbank.gc.ca/jobsearch/jobposting/41380252?source=searchresults|language assessor|June-30-2024|Government of Nunavut|Nunavut|Iqaluit|Salary not available
41380289|https://www.jobbank.gc.ca/jobsearch/jobposting/41380289?source=searchresults|instructor, sign language|June-30-2024|Government of Nunavut|Nunavut|Arviat|Salary not available
41380324|https://www.jobbank.gc.ca/jobsearch/jobposting/41380324?source=searchresults|kindergarten teacher|June-30-2024|Government of Nunavut|Nunavut|Arviat|Salary not available
41416267|https://www.jobbank.gc.ca/jobsearch/jobposting/41416267?source=searchresults|administrative assistant|July-06-2024|Nasittuq Corporation|Nunavut|Grise Fiord|Salary not available
41273455|https://www.jobbank.gc.ca/jobsearch/jobposting/41273455?source=searchresults|barista|June-14-2024|Kaapitaarvik Inc.|Nunavut|Iqaluit|Salary: $23.08 hourly
41431587|https://www.jobbank.gc.ca/jobsearch/jobposting/41431587?source=searchresults|cleaner|July-09-2024|Northview Residential REIT|Nunavut|Iqaluit|Salary not available
41312498|https://www.jobbank.gc.ca/jobsearch/jobposting/41312498?source=searchresults|*Repost* External Relations Manager (PM06)|June-19-2024|Parks Canada - Nunavut Field Unit|Nunavut|Iqaluit|Salary: $110,689.00 annually
41311967|https://www.jobbank.gc.ca/jobsearch/jobposting/41311967?source=searchresults|* REPOST* Human Resources Manager II (PE-04)|June-19-2024|Parks Canada - Nunavut Field Unit|Nunavut|Iqaluit|Salary: $96,889.00 annually
41392865|https://www.jobbank.gc.ca/jobsearch/jobposting/41392865?source=searchresults|truck mechanic|July-02-2024|Aplin|Nunavut|Iqaluit|Salary not available
41263985|https://www.jobbank.gc.ca/jobsearch/jobposting/41263985?source=searchresults|dental assistant|June-13-2024|IQALUIT DENTAL CLINIC|Nunavut|Iqaluit|Salary: $27.00 hourly
41262916|https://www.jobbank.gc.ca/jobsearch/jobposting/41262916?source=searchresults|light duty cleaner|June-13-2024|C&K Services Ltd|Nunavut|Iqaluit|Salary: $21.25 to $22.08 hourly (to be negotiated)
41352992|https://www.jobbank.gc.ca/jobsearch/jobposting/41352992?source=searchresults|director, elementary education|June-26-2024|Government of Nunavut|Nunavut|Cape Dorset|Salary not available
41257600|https://www.jobbank.gc.ca/jobsearch/jobposting/41257600?source=searchresults|corporate security officer|June-12-2024|BEAR SECURITY NUNAVUT|Nunavut|Iqaluit|Salary: $26.00 hourly
41254022|https://www.jobbank.gc.ca/jobsearch/jobposting/41254022?source=searchresults|cleaning supervisor|June-12-2024|C&K Services Ltd|Nunavut|Iqaluit|Salary: $25.50 hourly
41346158|https://www.jobbank.gc.ca/jobsearch/jobposting/41346158?source=searchresults|high school librarian|June-25-2024|Government of Nunavut|Nunavut|Iqaluit|Salary not available
41346188|https://www.jobbank.gc.ca/jobsearch/jobposting/41346188?source=searchresults|high school librarian|June-25-2024|Government of Nunavut|Nunavut|Clyde River|Salary not available
41378727|https://www.jobbank.gc.ca/jobsearch/jobposting/41378727?source=searchresults|customer service adviser|June-29-2024|Northview Residential REIT|Nunavut|Iqaluit|Salary not available
41179257|https://www.jobbank.gc.ca/jobsearch/jobposting/41179257?source=searchresults|construction labourer|June-03-2024|NUNAVUT EXCAVATING|Nunavut|Iqaluit|Salary: $28.00 hourly
41155411|https://www.jobbank.gc.ca/jobsearch/jobposting/41155411?source=searchresults|cook|May-30-2024|Kuugaq Cafe|Nunavut|Cambridge Bay|Salary: $25.00 hourly
41117133|https://www.jobbank.gc.ca/jobsearch/jobposting/41117133?source=searchresults|pharmacy technician|May-24-2024|413622 Alberta Ltd|Nunavut|Iqaluit|Salary: $38.00 hourly
41104610|https://www.jobbank.gc.ca/jobsearch/jobposting/41104610?source=searchresults|laundry supervisor|May-23-2024|902776 N.W.T. Limited|Nunavut|Iqaluit|Salary: $24.00 hourly
