JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41429518|https://www.jobbank.gc.ca/jobsearch/jobposting/41429518?source=searchresults|cleaning supervisor|July-09-2024|BRILLIANT CLEANERS INC.|Saskatchewan|Moose Jaw|Salary: $27.00 hourly
41429282|https://www.jobbank.gc.ca/jobsearch/jobposting/41429282?source=searchresults|restaurant manager|July-09-2024|REAL CANADIAN PIZZA & DONAIR INC.|Saskatchewan|Saskatoon|Salary: $25.00 hourly
41429146|https://www.jobbank.gc.ca/jobsearch/jobposting/41429146?source=searchresults|line cook|July-09-2024|REAL CANADIAN PIZZA & DONAIR INC.|Saskatchewan|Saskatoon|Salary: $16.00 hourly
41428863|https://www.jobbank.gc.ca/jobsearch/jobposting/41428863?source=searchresults|cook|July-09-2024|Meltwich food co.|Saskatchewan|Warman|Salary: $15.00 hourly
41428827|https://www.jobbank.gc.ca/jobsearch/jobposting/41428827?source=searchresults|early childhood program supervisor|July-09-2024|Kikinahk Friendship Centre|Saskatchewan|La Ronge|Salary: $45,000.00 to $60,000.00 annually (to be negotiated)
41428803|https://www.jobbank.gc.ca/jobsearch/jobposting/41428803?source=searchresults|food service supervisor|July-09-2024|Sky Park Cafe|Saskatchewan|Regina|Salary: $15.00 hourly
41428235|https://www.jobbank.gc.ca/jobsearch/jobposting/41428235?source=searchresults|housekeeping room attendant supervisor|July-09-2024|Days Inn Warman|Saskatchewan|Warman|Salary: $16.00 to $18.00 hourly (to be negotiated)
41428231|https://www.jobbank.gc.ca/jobsearch/jobposting/41428231?source=searchresults|food services manager|July-09-2024|Spring Creek Berry Barn|Saskatchewan|Saskatoon|Salary: $26.25 hourly
41428220|https://www.jobbank.gc.ca/jobsearch/jobposting/41428220?source=searchresults|cleaner supervisor|July-09-2024|Melliecent Building and Yard Maintenance Ltd.|Saskatchewan|Swift Current|Salary: $25.00 hourly
41428218|https://www.jobbank.gc.ca/jobsearch/jobposting/41428218?source=searchresults|cleaner supervisor|July-09-2024|Melliecent Building and Yard Maintenance Ltd.|Saskatchewan|Moose Jaw|Salary: $25.00 hourly
41428211|https://www.jobbank.gc.ca/jobsearch/jobposting/41428211?source=searchresults|cleaner supervisor|July-09-2024|Melliecent Building and Yard Maintenance Ltd.|Saskatchewan|Saskatoon|Salary: $25.00 hourly
41428212|https://www.jobbank.gc.ca/jobsearch/jobposting/41428212?source=searchresults|cleaner supervisor|July-09-2024|Melliecent Building and Yard Maintenance Ltd.|Saskatchewan|Regina|Salary: $25.00 hourly
41428163|https://www.jobbank.gc.ca/jobsearch/jobposting/41428163?source=searchresults|construction worker|July-09-2024|Unique Construction|Saskatchewan|Regina|Salary: $23.00 hourly
41428152|https://www.jobbank.gc.ca/jobsearch/jobposting/41428152?source=searchresults|speech pathologist|July-09-2024|OFAS - Online Form Automation Systems Inc.|Saskatchewan|Saskatoon|Salary: $40.00 hourly
41428125|https://www.jobbank.gc.ca/jobsearch/jobposting/41428125?source=searchresults|food and beverage server|July-09-2024|Boston  Pizza Kindersley|Saskatchewan|Kindersley|Salary: $14.15 hourly
41427922|https://www.jobbank.gc.ca/jobsearch/jobposting/41427922?source=searchresults|food counter attendant|July-09-2024|Boston  Pizza Kindersley|Saskatchewan|Kindersley|Salary: $14.15 hourly
41427909|https://www.jobbank.gc.ca/jobsearch/jobposting/41427909?source=searchresults|server - food and beverage services|July-09-2024|Wayback Burgers|Saskatchewan|Saskatoon|Salary: $14.00 hourly
41427907|https://www.jobbank.gc.ca/jobsearch/jobposting/41427907?source=searchresults|food service supervisor|July-09-2024|Wayback Burgers|Saskatchewan|Saskatoon|Salary: $16.00 hourly
41427898|https://www.jobbank.gc.ca/jobsearch/jobposting/41427898?source=searchresults|general labourer - manufacturing|July-09-2024|Varsteel Ltd.|Saskatchewan|Prince Albert|Salary: $25.97 hourly
41427899|https://www.jobbank.gc.ca/jobsearch/jobposting/41427899?source=searchresults|kitchen helper|July-09-2024|Boston  Pizza Kindersley|Saskatchewan|Kindersley|Salary: $14.15 hourly
41427896|https://www.jobbank.gc.ca/jobsearch/jobposting/41427896?source=searchresults|food service supervisor|July-09-2024|Westside Pizza & Family Restaurant|Saskatchewan|Regina|Salary: $15.00 hourly
41427893|https://www.jobbank.gc.ca/jobsearch/jobposting/41427893?source=searchresults|cook|July-09-2024|Zamzam Wraps Eastgate|Saskatchewan|Regina|Salary: $15.00 hourly
41427877|https://www.jobbank.gc.ca/jobsearch/jobposting/41427877?source=searchresults|building cleaning supervisor|July-09-2024|102192120 Saskatchewan Inc|Saskatchewan|Prince Albert|Salary: $23.00 hourly
41427873|https://www.jobbank.gc.ca/jobsearch/jobposting/41427873?source=searchresults|kitchen helper|July-09-2024|barBURRITO|Saskatchewan|Regina|Salary: $14.00 hourly
41427867|https://www.jobbank.gc.ca/jobsearch/jobposting/41427867?source=searchresults|cook|July-09-2024|beakschicken|Saskatchewan|Regina|Salary: $15.00 hourly
41427854|https://www.jobbank.gc.ca/jobsearch/jobposting/41427854?source=searchresults|truck dispatcher|July-09-2024|iLoad Trucking Ltd.|Saskatchewan|Regina|Salary: $30.60 hourly
41427850|https://www.jobbank.gc.ca/jobsearch/jobposting/41427850?source=searchresults|material handler|July-09-2024|iLoad Trucking Ltd.|Saskatchewan|Regina|Salary: $20.00 hourly
41427846|https://www.jobbank.gc.ca/jobsearch/jobposting/41427846?source=searchresults|mechanic helper|July-09-2024|iLoad Trucking Ltd.|Saskatchewan|Regina|Salary: $27.00 hourly
41427835|https://www.jobbank.gc.ca/jobsearch/jobposting/41427835?source=searchresults|long haul truck driver|July-09-2024|Jarg Trucking|Saskatchewan|Regina|Salary: $27.00 hourly
41427822|https://www.jobbank.gc.ca/jobsearch/jobposting/41427822?source=searchresults|cook|July-09-2024|Bliss99 Management INC|Saskatchewan|Saskatoon|Salary: $15.50 hourly
41427530|https://www.jobbank.gc.ca/jobsearch/jobposting/41427530?source=searchresults|general office worker|July-09-2024|Chariot Logistics Ltd|Saskatchewan|Saskatoon|Salary: $24.00 hourly
41427524|https://www.jobbank.gc.ca/jobsearch/jobposting/41427524?source=searchresults|retail sales associate|July-09-2024|Suzanne's|Saskatchewan|Yorkton|Salary: $14.00 hourly
41427522|https://www.jobbank.gc.ca/jobsearch/jobposting/41427522?source=searchresults|supervisor, food services|July-09-2024|Kooko's Pizza|Saskatchewan|Saskatoon|Salary: $27.00 to $31.00 hourly (to be negotiated)
41427508|https://www.jobbank.gc.ca/jobsearch/jobposting/41427508?source=searchresults|administrative assistant|July-09-2024|102192120 Saskatchewan Inc|Saskatchewan|Prince Albert|Salary: $22.00 hourly
41427506|https://www.jobbank.gc.ca/jobsearch/jobposting/41427506?source=searchresults|sales supervisor - retail|July-09-2024|102192120 Saskatchewan Inc|Saskatchewan|Prince Albert|Salary: $18.00 hourly
41427505|https://www.jobbank.gc.ca/jobsearch/jobposting/41427505?source=searchresults|bookkeeper|July-09-2024|102192120 Saskatchewan Inc|Saskatchewan|Prince Albert|Salary: $25.00 hourly
41427431|https://www.jobbank.gc.ca/jobsearch/jobposting/41427431?source=searchresults|light duty cleaner|July-09-2024|Arrowhead Motor Inn|Saskatchewan|Wynyard|Salary: $18.84 hourly
41427385|https://www.jobbank.gc.ca/jobsearch/jobposting/41427385?source=searchresults|cook|July-09-2024|VASUDEV ENTERPRISES LTD.|Saskatchewan|Hudson Bay|Salary: $16.25 hourly
